policy,label,margin_cutoff,ai_probability_cutoff,split,human,ai,fp,tp,fpr,recall
original,Original · 2% validation FPR,-3.2480470415752043,0.0373971275985241,mixed_val,622,622,11,622,0.017684887459807074,1.0
original,Original · 2% validation FPR,-3.2480470415752043,0.0373971275985241,mixed_test,631,631,19,631,0.030110935023771792,1.0
original,Original · 2% validation FPR,-3.2480470415752043,0.0373971275985241,cross_model_test,182,182,6,182,0.03296703296703297,1.0
original,Original · 2% validation FPR,-3.2480470415752043,0.0373971275985241,pmc_body_audit,261,0,15,0,0.05747126436781609,
original,Original · 2% validation FPR,-3.2480470415752043,0.0373971275985241,editlens_test,2000,2000,41,2000,0.0205,1.0
original,Original · 2% validation FPR,-3.2480470415752043,0.0373971275985241,enron_test,1800,1800,38,1800,0.021111111111111112,1.0
original,Original · 2% validation FPR,-3.2480470415752043,0.0373971275985241,acl_human_audit,17560,0,383,0,0.021810933940774487,
original,Original · 2% validation FPR,-3.2480470415752043,0.0373971275985241,paper_subset,221,221,10,221,0.04524886877828054,1.0
original,Original · 2% validation FPR,-3.2480470415752043,0.0373971275985241,pmc_subset,87,87,5,87,0.05747126436781609,1.0
val_1pct,At most 1% validation FPR,-2.9433593749999996,0.05005130611855735,mixed_val,622,622,6,622,0.00964630225080386,1.0
val_1pct,At most 1% validation FPR,-2.9433593749999996,0.05005130611855735,mixed_test,631,631,14,631,0.022187004754358162,1.0
val_1pct,At most 1% validation FPR,-2.9433593749999996,0.05005130611855735,cross_model_test,182,182,4,182,0.02197802197802198,1.0
val_1pct,At most 1% validation FPR,-2.9433593749999996,0.05005130611855735,pmc_body_audit,261,0,10,0,0.038314176245210725,
val_1pct,At most 1% validation FPR,-2.9433593749999996,0.05005130611855735,editlens_test,2000,2000,32,2000,0.016,1.0
val_1pct,At most 1% validation FPR,-2.9433593749999996,0.05005130611855735,enron_test,1800,1800,32,1800,0.017777777777777778,1.0
